Value Bucket ID,Value Bucket,Year,Property Value by Bucket,Property Value by Bucket Moe,Place,Place ID,share
0,"Less Than $10,000",2015,1460217,13521.000000000002,"United States","01000US",0.019544587501907823
0,"Less Than $10,000",2016,1463996,13329,"United States","01000US",0.019550949780791055
0,"Less Than $10,000",2017,1476974,13039,"United States","01000US",0.01947663115866171
0,"Less Than $10,000",2018,1258863,12461,"United States","01000US",0.01646760584531507
0,"Less Than $10,000",2019,1028776,9530,"United States","01000US",0.013313286844704715
0,"Less Than $10,000",2020,1031883,8097,"United States","01000US",0.013094733269632246
0,"Less Than $10,000",2021,1045047,8871,"United States","01000US",0.013038288512271054
0,"Less Than $10,000",2022,1049858,11030,"United States","01000US",0.012882047310257362
0,"Less Than $10,000",2023,1076983,11612,"United States","01000US",0.012992599035779517
1,"$10,000 to $14,999",2015,705869,6388,"United States","01000US",0.009447854966340053
1,"$10,000 to $14,999",2016,672264,6070,"United States","01000US",0.008977756567254089
1,"$10,000 to $14,999",2017,632158,6026,"United States","01000US",0.008336171252843496
1,"$10,000 to $14,999",2018,596848,5635,"United States","01000US",0.007807567315557459
1,"$10,000 to $14,999",2019,555266,5017,"United States","01000US",0.007185641512935575
1,"$10,000 to $14,999",2020,544313,7029.999999999999,"United States","01000US",0.006907404764099551
1,"$10,000 to $14,999",2021,533830,6098,"United States","01000US",0.0066602072026479735
1,"$10,000 to $14,999",2022,503432,6841,"United States","01000US",0.006177249534220327
1,"$10,000 to $14,999",2023,490383,5964,"United States","01000US",0.0059159241074025
2,"$15,000 to $19,999",2015,629841,6142,"United States","01000US",0.008430241900203275
2,"$15,000 to $19,999",2016,598938,6308,"United States","01000US",0.007998523739004363
2,"$15,000 to $19,999",2017,562022,5452,"United States","01000US",0.007411298504275209
2,"$15,000 to $19,999",2018,527481,5691,"United States","01000US",0.006900154503621633
2,"$15,000 to $19,999",2019,493678,5343,"United States","01000US",0.006388637393290798
2,"$15,000 to $19,999",2020,488049,6423,"United States","01000US",0.006193407079592113
2,"$15,000 to $19,999",2021,476859,5785,"United States","01000US",0.005949421625700148
2,"$15,000 to $19,999",2022,437226,6308,"United States","01000US",0.005364883648335856
2,"$15,000 to $19,999",2023,416267,5396,"United States","01000US",0.005021797208337394
3,"$20,000 to $24,999",2015,659945,5495,"United States","01000US",0.008833175342395383
3,"$20,000 to $24,999",2016,632979,5277,"United States","01000US",0.008453124626908367
3,"$20,000 to $24,999",2017,603519,5001,"United States","01000US",0.007958513122265089
3,"$20,000 to $24,999",2018,568572,5333,"United States","01000US",0.007437679549468433
3,"$20,000 to $24,999",2019,541349,4923,"United States","01000US",0.007005543014314149
3,"$20,000 to $24,999",2020,524602,5422,"United States","01000US",0.006657269538034463
3,"$20,000 to $24,999",2021,512481,6036,"United States","01000US",0.006393851314875965
3,"$20,000 to $24,999",2022,519925,6654,"United States","01000US",0.006379623194551605
3,"$20,000 to $24,999",2023,531847,6522,"United States","01000US",0.00641614103415024
4,"$25,000 to $29,999",2015,601605,5044,"United States","01000US",0.008052311104503822
4,"$25,000 to $29,999",2016,576582,5203,"United States","01000US",0.007699970304910715
4,"$25,000 to $29,999",2017,552538,4783,"United States","01000US",0.007286234440920846
4,"$25,000 to $29,999",2018,522549,5396,"United States","01000US",0.006835637370280598
4,"$25,000 to $29,999",2019,496197,4677,"United States","01000US",0.006421235519181966
4,"$25,000 to $29,999",2020,483311,5903,"United States","01000US",0.006133281225952196
4,"$25,000 to $29,999",2021,468889,5484,"United States","01000US",0.005849985753971125
4,"$25,000 to $29,999",2022,435839,5245,"United States","01000US",0.0053478647756699076
4,"$25,000 to $29,999",2023,429356,4855,"United States","01000US",0.0051797013988207335
5,"$30,000 to $34,999",2015,739249,6718,"United States","01000US",0.009894636732895081
5,"$30,000 to $34,999",2016,711866,6083,"United States","01000US",0.009506621887390815
5,"$30,000 to $34,999",2017,674950,6727,"United States","01000US",0.008900462838573138
5,"$30,000 to $34,999",2018,641527,6041,"United States","01000US",0.00839202818346988
5,"$30,000 to $34,999",2019,605943,6051,"United States","01000US",0.007841447477916387
5,"$30,000 to $34,999",2020,576666,6702,"United States","01000US",0.00731796866085181
5,"$30,000 to $34,999",2021,549446,6107,"United States","01000US",0.00685503663463297
5,"$30,000 to $34,999",2022,445962,4649,"United States","01000US",0.0054720767785519505
5,"$30,000 to $34,999",2023,354507,5102,"United States","01000US",0.004276731672066401
6,"$35,000 to $39,999",2015,546091,4633,"United States","01000US",0.007309272069496757
6,"$35,000 to $39,999",2016,529927,5578,"United States","01000US",0.0070769156230517435
6,"$35,000 to $39,999",2017,506636,4012.0000000000005,"United States","01000US",0.006680931758920424
6,"$35,000 to $39,999",2018,478620,4355,"United States","01000US",0.006260987501963835
6,"$35,000 to $39,999",2019,448984,4741,"United States","01000US",0.005810256830138827
6,"$35,000 to $39,999",2020,426388,6370,"United States","01000US",0.005410920743312908
6,"$35,000 to $39,999",2021,400870,4927,"United States","01000US",0.0050013623463003075
6,"$35,000 to $39,999",2022,335551,4364,"United States","01000US",0.004117303346742291
6,"$35,000 to $39,999",2023,402297,4997,"United States","01000US",0.004853264735188013
7,"$40,000 to $49,999",2015,1425946,9632,"United States","01000US",0.019085879954825517
7,"$40,000 to $49,999",2016,1376361,8418,"United States","01000US",0.018380627263489352
7,"$40,000 to $49,999",2017,1314549,8040,"United States","01000US",0.017334757424969968
7,"$40,000 to $49,999",2018,1242034,8707,"United States","01000US",0.016247460095721346
7,"$40,000 to $49,999",2019,1165696,8891,"United States","01000US",0.015085154806998713
7,"$40,000 to $49,999",2020,1097262,8972,"United States","01000US",0.013924401523140915
7,"$40,000 to $49,999",2021,1021769,9220,"United States","01000US",0.012747865899710427
7,"$40,000 to $49,999",2022,880256,7941,"United States","01000US",0.010800983977964548
7,"$40,000 to $49,999",2023,820356,6922,"United States","01000US",0.009896680425406847
8,"$50,000 to $59,999",2015,1769877,10010,"United States","01000US",0.023689298161926695
8,"$50,000 to $59,999",2016,1707922,10902,"United States","01000US",0.02280846208016157
8,"$50,000 to $59,999",2017,1633945,10334,"United States","01000US",0.021546583825131322
8,"$50,000 to $59,999",2018,1544961,10127,"United States","01000US",0.020210148995072393
8,"$50,000 to $59,999",2019,1451180,9994,"United States","01000US",0.018779574565598915
8,"$50,000 to $59,999",2020,1364028,10293,"United States","01000US",0.017309697739288206
8,"$50,000 to $59,999",2021,1253441,9767,"United States","01000US",0.01563826831818047
8,"$50,000 to $59,999",2022,1207986,8810,"United States","01000US",0.014822321496934394
8,"$50,000 to $59,999",2023,1135708,7517,"United States","01000US",0.01370105068114082
9,"$60,000 to $69,999",2015,2055529,12868,"United States","01000US",0.0275126685987145
9,"$60,000 to $69,999",2016,1994300,12678,"United States","01000US",0.026632900054256704
9,"$60,000 to $69,999",2017,1907605,11773,"United States","01000US",0.02515529656000639
9,"$60,000 to $69,999",2018,1796514,12686,"United States","01000US",0.0235007975034538
9,"$60,000 to $69,999",2019,1685990,12236,"United States","01000US",0.021818227181916863
9,"$60,000 to $69,999",2020,1581124,13137,"United States","01000US",0.020064675012781502
9,"$60,000 to $69,999",2021,1442791,9644,"United States","01000US",0.01800065003861842
9,"$60,000 to $69,999",2022,888740,7593.000000000001,"United States","01000US",0.010905084998655178
9,"$60,000 to $69,999",2023,709881,7585.999999999999,"United States","01000US",0.008563922732409145
10,"$70,000 to $79,999",2015,2374297,14562.000000000002,"United States","01000US",0.031779287237456655
10,"$70,000 to $79,999",2016,2290767,13071,"United States","01000US",0.030592071683592976
10,"$70,000 to $79,999",2017,2194410,14011,"United States","01000US",0.02893735040757579
10,"$70,000 to $79,999",2018,2058463,13531.999999999998,"United States","01000US",0.02692743954756379
10,"$70,000 to $79,999",2019,1937078,12774,"United States","01000US",0.025067531760623228
10,"$70,000 to $79,999",2020,1809271,15535.000000000002,"United States","01000US",0.022959890954188412
10,"$70,000 to $79,999",2021,1653143,12277,"United States","01000US",0.020625058381145832
10,"$70,000 to $79,999",2022,1112134,8607,"United States","01000US",0.013646191011875664
10,"$70,000 to $79,999",2023,1168927,9073,"United States","01000US",0.014101800876240984
11,"$80,000 to $89,999",2015,2794942,18284,"United States","01000US",0.037409500424770606
11,"$80,000 to $89,999",2016,2699481,17439,"United States","01000US",0.03605024703974575
11,"$80,000 to $89,999",2017,2572479,14896.000000000002,"United States","01000US",0.03392288872140127
11,"$80,000 to $89,999",2018,2433919,14986.999999999998,"United States","01000US",0.03183890443314595
11,"$80,000 to $89,999",2019,2288047,14353.999999999998,"United States","01000US",0.029609386324298086
11,"$80,000 to $89,999",2020,2134595,15347,"United States","01000US",0.027088296021632922
11,"$80,000 to $89,999",2021,1947871,13999.999999999998,"United States","01000US",0.024302164479383156
11,"$80,000 to $89,999",2022,1466077,11169,"United States","01000US",0.01798916927287327
11,"$80,000 to $89,999",2023,1298639,10537,"United States","01000US",0.015666631524569725
12,"$90,000 to $99,999",2015,2466857,16511,"United States","01000US",0.0330181764019963
12,"$90,000 to $99,999",2016,2354130,17406,"United States","01000US",0.031438253524909664
12,"$90,000 to $99,999",2017,2231451,16188.000000000002,"United States","01000US",0.02942580443232368
12,"$90,000 to $99,999",2018,2091716,16347.999999999998,"United States","01000US",0.02736243310696959
12,"$90,000 to $99,999",2019,1946546,16357.999999999998,"United States","01000US",0.025190056197279664
12,"$90,000 to $99,999",2020,1809410,14988,"United States","01000US",0.022961654882777682
12,"$90,000 to $99,999",2021,1648381,13752,"United States","01000US",0.02056564638350799
12,"$90,000 to $99,999",2022,1644538,12108,"United States","01000US",0.020178934979317224
12,"$90,000 to $99,999",2023,1234689,10103,"United States","01000US",0.014895146080195858
13,"$100,000 to $124,999",2015,6275735,30900.999999999996,"United States","01000US",0.0839989206030922
13,"$100,000 to $124,999",2016,6056463,31814,"United States","01000US",0.0808810980099803
13,"$100,000 to $124,999",2017,5826370,30685,"United States","01000US",0.07683145369105471
13,"$100,000 to $124,999",2018,5546278,28876.999999999996,"United States","01000US",0.07255270828719439
13,"$100,000 to $124,999",2019,5290207,30066,"United States","01000US",0.06846003722760328
13,"$100,000 to $124,999",2020,5007346,28159.999999999996,"United States","01000US",0.06354389040110163
13,"$100,000 to $124,999",2021,4666412,24652,"United States","01000US",0.058219415943133464
13,"$100,000 to $124,999",2022,3784011,23972,"United States","01000US",0.046430858958577514
13,"$100,000 to $124,999",2023,3799063,22793,"United States","01000US",0.045831459058003364
14,"$125,000 to $149,999",2015,5528331,30159,"United States","01000US",0.07399513152429371
14,"$125,000 to $149,999",2016,5433927,31625,"United States","01000US",0.0725674345349882
14,"$125,000 to $149,999",2017,5331518,33096,"United States","01000US",0.07030591574514228
14,"$125,000 to $149,999",2018,5155384,31240.999999999996,"United States","01000US",0.06743929378593524
14,"$125,000 to $149,999",2019,4952877,28839,"United States","01000US",0.06409468359248326
14,"$125,000 to $149,999",2020,4722731,27091.000000000004,"United States","01000US",0.05993208798790518
14,"$125,000 to $149,999",2021,4363124,28053,"United States","01000US",0.05443551297387977
14,"$125,000 to $149,999",2022,3738294,20045,"United States","01000US",0.04586989875549954
14,"$125,000 to $149,999",2023,3048261,16821,"United States","01000US",0.036773870088389796
15,"$150,000 to $174,999",2015,6659967,36221,"United States","01000US",0.08914175618508656
15,"$150,000 to $174,999",2016,6570071,35202,"United States","01000US",0.08774008137811282
15,"$150,000 to $174,999",2017,6499851,36251,"United States","01000US",0.08571254505039255
15,"$150,000 to $174,999",2018,6388594,37101,"United States","01000US",0.08357132420108049
15,"$150,000 to $174,999",2019,6272151,35728,"United States","01000US",0.08116727586598202
15,"$150,000 to $174,999",2020,6147474,32335.000000000004,"United States","01000US",0.07801226719695858
15,"$150,000 to $174,999",2021,5902782,31519.999999999996,"United States","01000US",0.07364470185651015
15,"$150,000 to $174,999",2022,4674575,24848,"United States","01000US",0.05735832494046462
15,"$150,000 to $174,999",2023,3838639,23684,"United States","01000US",0.046308899369911734
16,"$175,000 to $199,999",2015,4584396,27035,"United States","01000US",0.0613608311404375
16,"$175,000 to $199,999",2016,4568510,26153,"United States","01000US",0.06101021422397448
16,"$175,000 to $199,999",2017,4590736,27318,"United States","01000US",0.06053733635039617
16,"$175,000 to $199,999",2018,4577979,27570.999999999996,"United States","01000US",0.059886066823895565
16,"$175,000 to $199,999",2019,4582862,28110.999999999996,"United States","01000US",0.059306356656548306
16,"$175,000 to $199,999",2020,4579828,27350.000000000004,"United States","01000US",0.058118629806667335
16,"$175,000 to $199,999",2021,4481505,27119,"United States","01000US",0.05591246629021019
16,"$175,000 to $199,999",2022,4162341,23858,"United States","01000US",0.05107307243781915
16,"$175,000 to $199,999",2023,4078881,22323,"United States","01000US",0.04920715122491199
17,"$200,000 to $249,999",2015,7692487,42316,"United States","01000US",0.10296174149375635
17,"$200,000 to $249,999",2016,7745477,40356,"United States","01000US",0.10343705300784439
17,"$200,000 to $249,999",2017,7895572,42441,"United States","01000US",0.10411770527487753
17,"$200,000 to $249,999",2018,8070035,41520,"United States","01000US",0.1055668134959064
17,"$200,000 to $249,999",2019,8274180,42220,"United States","01000US",0.10707533199133618
17,"$200,000 to $249,999",2020,8500978,44969,"United States","01000US",0.1078785477045477
17,"$200,000 to $249,999",2021,8592193,45046,"United States","01000US",0.10719851957578536
17,"$200,000 to $249,999",2022,8625221,42047,"United States","01000US",0.10583384132275538
17,"$200,000 to $249,999",2023,8551663,36986,"United States","01000US",0.10316627880673267
18,"$250,000 to $299,999",2015,5945177,33560,"United States","01000US",0.07957449618161537
18,"$250,000 to $299,999",2016,6066474,34291,"United States","01000US",0.08101479001341166
18,"$250,000 to $299,999",2017,6310465,33487,"United States","01000US",0.08321514071652188
18,"$250,000 to $299,999",2018,6570089,36203,"United States","01000US",0.08594552069656528
18,"$250,000 to $299,999",2019,6877112,39470,"United States","01000US",0.08899601538056966
18,"$250,000 to $299,999",2020,7229480,37339,"United States","01000US",0.09174306803982712
18,"$250,000 to $299,999",2021,7490330,39115,"United States","01000US",0.09345137930841316
18,"$250,000 to $299,999",2022,7577571,40246,"United States","01000US",0.09297888678167351
18,"$250,000 to $299,999",2023,7649080,41997,"United States","01000US",0.09227762131120025
19,"$300,000 to $399,999",2015,7674805,38859,"United States","01000US",0.1027250729737975
19,"$300,000 to $399,999",2016,7929212,42763,"United States","01000US",0.10589074397282902
19,"$300,000 to $399,999",2017,8377035,42632,"United States","01000US",0.1104666845172628
19,"$300,000 to $399,999",2018,8880612,47996,"United States","01000US",0.11617024098823714
19,"$300,000 to $399,999",2019,9450290,49313,"United States","01000US",0.12229525332593735
19,"$300,000 to $399,999",2020,10176033,43678,"United States","01000US",0.1291352196692606
19,"$300,000 to $399,999",2021,10898378,49891,"United States","01000US",0.13597110625626177
19,"$300,000 to $399,999",2022,11451015,53584,"United States","01000US",0.14050711332434168
19,"$300,000 to $399,999",2023,11942180,65740,"United States","01000US",0.14406908591231748
20,"$400,000 to $499,999",2015,4148191,20530,"United States","01000US",0.055522351797114074
20,"$400,000 to $499,999",2016,4355190,23893,"United States","01000US",0.058161430069346765
20,"$400,000 to $499,999",2017,4713899,24568,"United States","01000US",0.06216146807065276
20,"$400,000 to $499,999",2018,5088888,26182,"United States","01000US",0.06656943748045158
20,"$400,000 to $499,999",2019,5498064,30508,"United States","01000US",0.0711498937791556
20,"$400,000 to $499,999",2020,5997303,30722.999999999996,"United States","01000US",0.07610657712372941
20,"$400,000 to $499,999",2021,6615893,32080,"United States","01000US",0.08254166721718208
20,"$400,000 to $499,999",2022,8162678,44344,"United States","01000US",0.10015831109959342
20,"$400,000 to $499,999",2023,8692918,43633,"United States","01000US",0.10487036287936802
21,"$500,000 to $749,999",2015,4602188,21821,"United States","01000US",0.06159897197897995
21,"$500,000 to $749,999",2016,4872014,24657,"United States","01000US",0.06506336154286688
21,"$500,000 to $749,999",2017,5308063,25682,"United States","01000US",0.06999661823291362
21,"$500,000 to $749,999",2018,5786379,27850.999999999996,"United States","01000US",0.07569354937241651
21,"$500,000 to $749,999",2019,6314185,31143,"United States","01000US",0.08171123363641049
21,"$500,000 to $749,999",2020,6925193,31817.000000000004,"United States","01000US",0.08788162531578128
21,"$500,000 to $749,999",2021,7797250,34847,"United States","01000US",0.09728059609022893
21,"$500,000 to $749,999",2022,9668934,45865,"United States","01000US",0.1186404877876398
21,"$500,000 to $749,999",2023,11176976,53535,"United States","01000US",0.13483775287124383
22,"$750,000 to $999,999",2015,1700050,10155,"United States","01000US",0.022754683709762587
22,"$750,000 to $999,999",2016,1839171,10716,"United States","01000US",0.024561228213251445
22,"$750,000 to $999,999",2017,2045639,12211,"United States","01000US",0.026975529892045214
22,"$750,000 to $999,999",2018,2275524,12641,"United States","01000US",0.029766886725207376
22,"$750,000 to $999,999",2019,2506929,14816,"United States","01000US",0.03244191629305966
22,"$750,000 to $999,999",2020,2757469,15897,"United States","01000US",0.034992650382145614
22,"$750,000 to $999,999",2021,3132568,17443,"United States","01000US",0.03908276409415836
22,"$750,000 to $999,999",2022,4199867,22503,"United States","01000US",0.05153352681104364
22,"$750,000 to $999,999",2023,4694948,24739,"United States","01000US",0.05663931265194991
23,"$1,000,000 to $1,499,999",2015,910854,6270,"United States","01000US",0.012191520646905733
23,"$1,000,000 to $1,499,999",2016,985866,6897.999999999999,"United States","01000US",0.013165757731981066
23,"$1,000,000 to $1,499,999",2017,1106944,6170,"United States","01000US",0.01459710191329951
23,"$1,000,000 to $1,499,999",2018,1253950,7742,"United States","01000US",0.01640333725729713
23,"$1,000,000 to $1,499,999",2019,1400103,8041,"United States","01000US",0.018118592240810055
23,"$1,000,000 to $1,499,999",2020,1551648,10201,"United States","01000US",0.019690620630786956
23,"$1,000,000 to $1,499,999",2021,1757370,11141,"United States","01000US",0.021925422572199895
23,"$1,000,000 to $1,499,999",2022,2567526,13127,"United States","01000US",0.03150425238681407
23,"$1,000,000 to $1,499,999",2023,3078774,17511,"United States","01000US",0.03714197541073819
24,"$1,500,000 to $1,999,999",2015,313903,3613,"United States","01000US",0.004201502003203203
24,"$1,500,000 to $1,999,999",2016,348313,3499,"United States","01000US",0.00465154957458673
24,"$1,500,000 to $1,999,999",2017,398918,4093.0000000000005,"United States","01000US",0.005260470901011807
24,"$1,500,000 to $1,999,999",2018,452783,4394,"United States","01000US",0.005923005106559883
24,"$1,500,000 to $1,999,999",2019,508010,4499,"United States","01000US",0.006574106365213071
24,"$1,500,000 to $1,999,999",2020,565285,5601,"United States","01000US",0.007173542248805401
24,"$1,500,000 to $1,999,999",2021,641616,5895,"United States","01000US",0.008004974438555686
24,"$1,500,000 to $1,999,999",2022,835009,7238,"United States","01000US",0.010245790804557082
24,"$1,500,000 to $1,999,999",2023,957845,7226.999999999999,"United States","01000US",0.011555331907213234
25,"$2,000,000 or More",2015,445742,3947,"United States","01000US",0.005966129364522805
25,"$2,000,000 or More",2016,500867,3882,"United States","01000US",0.0066888335513590694
25,"$2,000,000 or More",2017,564889,4879,"United States","01000US",0.007449105196560844
25,"$2,000,000 or More",2018,636248,5636,"United States","01000US",0.008322971827649255
25,"$2,000,000 or More",2019,702681,5363,"United States","01000US",0.009093324215693168
25,"$2,000,000 or More",2020,769706,6252,"United States","01000US",0.009767672077198246
25,"$2,000,000 or More",2021,857922,7013,"United States","01000US",0.010703666492535367
